노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
0270,순천완주선,43.5000,35.295856405,127.395113534,235938.976970,299989.769396
0270,순천완주선,43.6000,35.296592931,127.394479841,235881.011801,300071.255114
0270,순천완주선,43.7000,35.297329453,127.393846138,235823.046632,300152.740831
0270,순천완주선,43.8000,35.298065971,127.393212422,235765.081463,300234.226538
0270,순천완주선,43.9000,35.298802487,127.392578696,235707.116294,300315.712255
0270,순천완주선,44.0000,35.299538999,127.391944957,235649.151125,300397.197972
0270,순천완주선,44.1000,35.300275508,127.391311208,235591.185956,300478.683689
0270,순천완주선,44.2000,35.301012015,127.390677449,235533.220979,300560.169612
0270,순천완주선,44.3000,35.301748517,127.390043676,235475.255832,300641.655334
0270,순천완주선,44.4000,35.302485016,127.389409893,235417.290685,300723.141066
0270,순천완주선,44.5000,35.303221511,127.388776097,235359.325538,300804.626797
0270,순천완주선,44.6000,35.303958004,127.388142291,235301.360390,300886.112529
0270,순천완주선,44.7000,35.304694492,127.387508473,235243.395243,300967.598260
0270,순천완주선,44.8000,35.305430978,127.386874643,235185.430106,301049.083992
0270,순천완주선,44.9000,35.306167460,127.386240802,235127.464959,301130.569713
0270,순천완주선,45.0000,35.306903931,127.385606956,235069.500363,301212.054532
0270,순천완주선,45.1000,35.307640406,127.384973092,235011.535204,301293.540254
0270,순천완주선,45.2000,35.308376878,127.384339216,234953.570066,301375.025982
0270,순천완주선,45.3000,35.309113347,127.383705329,234895.604908,301456.511704
0270,순천완주선,45.4000,35.309849812,127.383071431,234837.639770,301537.997442
0270,순천완주선,45.5000,35.310586274,127.382437521,234779.674621,301619.483164
0270,순천완주선,45.6000,35.311322733,127.381803600,234721.709474,301700.968892
0270,순천완주선,45.7000,35.312059189,127.381169667,234663.744325,301782.454623
0270,순천완주선,45.8000,35.312795649,127.380535718,234605.778718,301863.941281
0270,순천완주선,45.9000,35.313532098,127.379901762,234547.813547,301945.426986
0270,순천완주선,46.0000,35.314268543,127.379267795,234489.848376,302026.912707
0270,순천완주선,46.1000,35.315004985,127.378633816,234431.883206,302108.398412
0270,순천완주선,46.2000,35.315739969,127.377997335,234373.692206,302189.721940
0270,순천완주선,46.3000,35.316460407,127.377336624,234313.304928,302269.423558
0270,순천완주선,46.4000,35.317162030,127.376646446,234250.247051,302347.027921
0270,순천완주선,46.5000,35.317839114,127.375920733,234183.969317,302421.897895
0270,순천완주선,46.6000,35.318489220,127.375159178,234114.444718,302493.762978
0270,순천완주선,46.7000,35.319111075,127.374363271,234041.809358,302562.482367
0270,순천완주선,46.8000,35.319703461,127.373534571,233966.205385,302627.921572
0270,순천완주선,46.9000,35.320265217,127.372674698,233887.780828,302689.952535
0270,순천완주선,47.0000,35.320795244,127.371785338,233806.689188,302748.453788
0270,순천완주선,47.1000,35.321292503,127.370868232,233723.089218,302803.310838
0270,순천완주선,47.2000,35.321760215,127.369928192,233637.417164,302854.882699
0270,순천완주선,47.3000,35.322223563,127.368984901,233551.452282,302905.970093
0270,순천완주선,47.4000,35.322675313,127.368033107,233464.720067,302955.768645
0270,순천완주선,47.5000,35.323138645,127.367089794,233378.755135,303006.855948
0270,순천완주선,47.6000,35.323601971,127.366146471,233292.790253,303057.943332
0270,순천완주선,47.7000,35.324065289,127.365203137,233206.825372,303109.030715
0270,순천완주선,47.8000,35.324531436,127.364261893,233121.050426,303160.433382
0270,순천완주선,47.9000,35.325025480,127.363342162,233037.221103,303214.939159
0270,순천완주선,48.0000,35.325552516,127.362450112,232955.896413,303273.115376
0270,순천완주선,48.1000,35.326111509,127.361587501,232877.236597,303334.847609
0270,순천완주선,48.2000,35.326701359,127.360756029,232801.396559,303400.014307
0270,순천완주선,48.3000,35.327320892,127.359957349,232728.527392,303468.485620
0270,순천완주선,48.4000,35.327995058,127.359163563,232656.082212,303543.020634
0270,순천완주선,48.5000,35.328671286,127.358436568,232589.710296,303617.807026
0270,순천완주선,48.6000,35.329373313,127.357746942,232526.726668,303695.468459
0270,순천완주선,48.7000,35.330099757,127.357096041,232467.255338,303775.851968
0270,순천완주선,48.8000,35.330849172,127.356485165,232411.414902,303858.797552
0270,순천완주선,48.9000,35.331620090,127.355915507,232359.314504,303944.142640
0270,순천완주선,49.0000,35.332410985,127.355388199,232311.057421,304031.718260
0270,순천완주선,49.1000,35.333220296,127.354904282,232266.738999,304121.351490
0270,순천완주선,49.2000,35.334045083,127.354460853,232226.096305,304212.715107
0270,순천완주선,49.3000,35.334872646,127.354025088,232186.150085,304304.389426
0270,순천완주선,49.4000,35.335700207,127.353589314,232146.203865,304396.063745
0270,순천완주선,49.5000,35.336527767,127.353153531,232106.257645,304487.738063
0270,순천완주선,49.6000,35.337355325,127.352717740,232066.311425,304579.412382
0270,순천완주선,49.7000,35.338182881,127.352281940,232026.365205,304671.086700
0270,순천완주선,49.8000,35.339010436,127.351846130,231986.418985,304762.761018
0270,순천완주선,49.9000,35.339837989,127.351410312,231946.472723,304854.435306
0270,순천완주선,50.0000,35.340665541,127.350974485,231906.526503,304946.109624
0270,순천완주선,50.1000,35.341493091,127.350538649,231866.580283,305037.783942
0270,순천완주선,50.2000,35.342320639,127.350102805,231826.634063,305129.458259
0270,순천완주선,50.3000,35.343148186,127.349666951,231786.687843,305221.132577
0270,순천완주선,50.4000,35.343975731,127.349231089,231746.741623,305312.806895
0270,순천완주선,50.5000,35.344803274,127.348795218,231706.795403,305404.481212
0270,순천완주선,50.6000,35.345630816,127.348359338,231666.849183,305496.155529
0270,순천완주선,50.7000,35.346458357,127.347923450,231626.902947,305587.829879
0270,순천완주선,50.8000,35.347285895,127.347487552,231586.956727,305679.504196
0270,순천완주선,50.9000,35.348113432,127.347051646,231547.010507,305771.178513
0270,순천완주선,51.0000,35.348940967,127.346615731,231507.064287,305862.852830
0270,순천완주선,51.1000,35.349768501,127.346179807,231467.118068,305954.527147
0270,순천완주선,51.2000,35.350596033,127.345743874,231427.171848,306046.201464
0270,순천완주선,51.3000,35.351422016,127.345303622,231386.834445,306137.702700
0270,순천완주선,51.4000,35.352237059,127.344834053,231343.837246,306227.981134
0270,순천완주선,51.5000,35.353038826,127.344331580,231297.855227,306316.776405
0270,순천완주선,51.6000,35.353826426,127.343796760,231248.939436,306403.989938
0270,순천완주선,51.7000,35.354598983,127.343230187,231197.144239,306489.524799
0270,순천완주선,51.8000,35.355355640,127.342632490,231142.527180,306573.285958
0270,순천완주선,51.9000,35.356095564,127.342004351,231085.150643,306655.181591
0270,순천완주선,52.0000,35.356827453,127.341362244,231026.508695,306736.181615
0270,순천완주선,52.1000,35.357559338,127.340720126,230967.866750,306817.181635
0270,순천완주선,52.2000,35.358291220,127.340077997,230909.224806,306898.181654
0270,순천완주선,52.3000,35.359023099,127.339435856,230850.582861,306979.181675
0270,순천완주선,52.4000,35.359754974,127.338793703,230791.940918,307060.181695
0270,순천완주선,52.5000,35.360486845,127.338151539,230733.298975,307141.181715
0270,순천완주선,52.6000,35.361218713,127.337509363,230674.657032,307222.181735
0270,순천완주선,52.7000,35.361950578,127.336867176,230616.015089,307303.181755
0270,순천완주선,52.8000,35.362682439,127.336224977,230557.373146,307384.181774
0270,순천완주선,52.9000,35.363419360,127.335591487,230499.521799,307465.746285
0270,순천완주선,53.0000,35.364166508,127.334976101,230443.313034,307548.451315
0270,순천완주선,53.1000,35.364923584,127.334379067,230388.769493,307632.263897
0270,순천완주선,53.2000,35.365690287,127.333800626,230335.913007,307717.150522
0270,순천완주선,53.3000,35.366466309,127.333241008,230284.764712,307803.077230
0270,순천완주선,53.4000,35.367248889,127.332695129,230234.863488,307889.735930
0270,순천완주선,53.5000,35.368031759,127.332149863,230185.018902,307976.427323
0270,순천완주선,53.6000,35.368814626,127.331604588,230135.174317,308063.118716
0270,순천완주선,53.7000,35.369597491,127.331059301,230085.329731,308149.810110
0270,순천완주선,53.8000,35.370380353,127.330514004,230035.485146,308236.501503
0270,순천완주선,53.9000,35.371163213,127.329968697,229985.640565,308323.192885
0270,순천완주선,54.0000,35.371946070,127.329423379,229935.795980,308409.884278
0270,순천완주선,54.1000,35.372728925,127.328878051,229885.951395,308496.575672
